design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
CS-0,mean_total_shift,seeding_regime,B_factor,8.107603878346302e-07,7.940196956017616e-07,8.095660290186103e-07,8.265442525756265e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,seeding_regime,q,0.0002412376087246,0.00023621013228515718,0.0002408793838053104,0.00024597036458853073,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,seeding_regime,rho,0.0002767249119285,0.0002709912043601596,0.0002763129312103878,0.0002821480674715596,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,seeding_regime,tau,0.0489718558260389,0.04890862099454945,0.04896989534376287,0.049036362125041304,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,topology,B_total,0.0002084114247076,0.0002081678826977263,0.00020840940694774688,0.0002086589123000213,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,topology,B_factor,3.000538986971594e-07,2.899723942898923e-07,3.000331195031495e-07,3.1048523202660037e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,topology,q,8.927950365647846e-05,8.624772047327201e-05,8.928327593407174e-05,9.238202627181293e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,topology,rho,0.2490930388780851,0.23733228480577487,0.2494369249884773,0.26185589639186874,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,topology,tau,0.0620117540049601,0.061946824233029746,0.06201078335615213,0.06207701874906915,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,message_condition,B_total,0.0002084114247076,0.0002081678826977263,0.00020840940694774688,0.0002086589123000213,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,message_condition,B_factor,0.0001594110762541,0.00015922647712403098,0.00015940803555856146,0.00015960038492250698,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,message_condition,q,0.0474319508165525,0.047382262522793046,0.04743196897774624,0.04748254712343111,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,message_condition,rho,0.3716460354350419,0.3711003651265148,0.37165297017819715,0.3721361295192637,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,message_condition,tau,0.0620117540049601,0.061946824233029746,0.06201078335615213,0.06207701874906915,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,inoculation,B_total,0.0002084114247076,0.0002081678826977263,0.00020840940694774688,0.0002086589123000213,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,inoculation,B_factor,2.07953522708762e-07,2.0090044539429082e-07,2.09176768427523e-07,2.172862653991613e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,inoculation,q,6.187550760602815e-05,5.9782184341389604e-05,6.223988127101426e-05,6.466441440111743e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,inoculation,rho,0.2424002823521861,0.2313368439687671,0.24364105647473897,0.2563072775023662,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,inoculation,tau,0.0620117540049601,0.061946824233029746,0.06201078335615213,0.06207701874906915,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,seeding_regime,B_total,0.0002084114247076,0.0002081678826977263,0.00020840940694774688,0.0002086589123000213,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,seeding_regime,B_factor,4.8492341032049466e-05,4.8367951962822705e-05,4.8492270902291155e-05,4.861398668535195e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,seeding_regime,q,0.0144286481771451,0.014392456036017916,0.014428806096998377,0.014461729860373333,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,seeding_regime,rho,0.0165511771451291,0.0165111299822883,0.016551072702488796,0.016588077532312825,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-15,mean_total_shift,seeding_regime,tau,0.0620117540049601,0.061946824233029746,0.06201078335615213,0.06207701874906915,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,topology,B_total,0.0003807231262917,0.00038030720248952664,0.0003807267985773958,0.00038113472051155893,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,topology,B_factor,2.989705061355614e-07,2.866298417272822e-07,2.9766214943044726e-07,3.101138633179799e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,topology,q,8.895714573816921e-05,8.533543923715818e-05,8.856829724208321e-05,9.226409674328647e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,topology,rho,0.2481936486464029,0.23735944151125216,0.24750585831959582,0.2591412714092496,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,topology,tau,0.1132822199393342,0.11316580330926082,0.11328124882558377,0.11340011126266977,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,message_condition,B_total,0.0003807231262917,0.00038030720248952664,0.0003807267985773958,0.00038113472051155893,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,message_condition,B_factor,0.0001602184221853,0.00016001442808533372,0.00016021886925724033,0.00016041576403051026,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,message_condition,q,0.047672172471155,0.047615222912413595,0.047672175503926134,0.047724323134424824,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,message_condition,rho,0.3735282566808844,0.3729160301586205,0.3735329087382,0.3741089841806553,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,message_condition,tau,0.1132822199393342,0.11316580330926082,0.11328124882558377,0.11340011126266977,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,inoculation,B_total,0.0003807231262917,0.00038030720248952664,0.0003807267985773958,0.00038113472051155893,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-30,mean_total_shift,inoculation,B_factor,2.318249299375266e-07,2.2142271073136675e-07,2.316454758998873e-07,2.4140539570320703e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
