design,outcome,metric,lo95,median,hi95
CS-0,mean_signed_shift,main_rho__seeding_regime,3.521621807263021e-05,5.086724118355042e-05,6.98561816411041e-05
CS-0,mean_signed_shift,main_share__message_condition,0.9824438840096419,0.984041061049332,0.9856302933978024
CS-0,mean_signed_shift,main_share__seeding_regime,0.0009362355310963315,0.001341398214759956,0.0018379728752056267
CS-0,mean_signed_shift,omega,0.4674296091769535,0.5042118155994166,0.5514790586807801
CS-0,mean_signed_shift,shapley_rho__message_condition,0.2433857258273414,0.2463416774369202,0.24936093068445284
CS-0,mean_signed_shift,shapley_rho__seeding_regime,6.174296003651206e-05,8.110098784809637e-05,0.00010315521331987416
CS-0,mean_signed_shift,shapley_share__message_condition,0.9843508613405169,0.9857888329308493,0.9871528754972528
CS-0,mean_signed_shift,shapley_share__seeding_regime,0.0017410104200099575,0.0022706298220369087,0.0028702341080631797
CS-0,mean_signed_shift,tau,0.030860672574317755,0.031211542626519664,0.031576031644446785
CS-0,mean_total_shift,main_rho__message_condition,0.5916020675281071,0.5956199500775496,0.599302016393704
CS-0,mean_total_shift,main_rho__seeding_regime,0.00024127879320352618,0.00026720247938749766,0.00029277278421284696
CS-0,mean_total_shift,main_share__message_condition,0.9896093182386115,0.9903370952338295,0.991042268042714
CS-0,mean_total_shift,main_share__seeding_regime,0.004056440798277543,0.004499505215702473,0.004932542190949235
CS-0,mean_total_shift,omega,0.4483776264487652,0.4882395404679591,0.5355294570155167
CS-0,mean_total_shift,shapley_rho__message_condition,0.3777180350218418,0.38061299351766886,0.3831664977298899
CS-0,mean_total_shift,shapley_rho__seeding_regime,0.00025915863087801536,0.00028765433556679184,0.00031488063455813083
CS-0,mean_total_shift,shapley_share__message_condition,0.9905404723354875,0.9911947652977804,0.9917975073011567
CS-0,mean_total_shift,shapley_share__seeding_regime,0.004617849389342716,0.005115917420435002,0.005598100110241707
CS-0,mean_total_shift,tau,0.04870005042972667,0.049009784416190555,0.04927373465888925
CS-15,conversion_rate,main_rho__message_condition,0.19118898639250226,0.1991490447059423,0.20757405415701016
CS-15,conversion_rate,main_rho__seeding_regime,0.008684924086406401,0.009319574430663245,0.009952916372082636
CS-15,conversion_rate,main_share__message_condition,0.6784177869165481,0.6934477267139665,0.7087422159409171
CS-15,conversion_rate,main_share__seeding_regime,0.2353969737687915,0.24974414747811383,0.2630490286596185
CS-15,conversion_rate,omega,0.5684582626339959,0.6166133564188755,0.6694001935933847
CS-15,conversion_rate,shapley_rho__message_condition,0.11201217342017662,0.11676389559336098,0.12161744727631524
CS-15,conversion_rate,shapley_rho__seeding_regime,0.0085640430847988,0.009177777249334966,0.00980740928058391
CS-15,conversion_rate,shapley_share__message_condition,0.7012038767872797,0.7149116093590024,0.7294532536118884
CS-15,conversion_rate,shapley_share__seeding_regime,0.25605639075276293,0.2706128844786445,0.28371272814091514
CS-15,conversion_rate,tau,0.027034974392457316,0.02803617471621466,0.029103674326639732
CS-15,mean_signed_shift,main_rho__message_condition,0.39102090327502664,0.39564503909545945,0.40056929235111177
CS-15,mean_signed_shift,main_rho__seeding_regime,0.013544849191558937,0.013821065708626849,0.014084978696856444
CS-15,mean_signed_shift,main_share__message_condition,0.6880954905650986,0.692822317233073,0.6974977346508514
CS-15,mean_signed_shift,main_share__seeding_regime,0.2603784252274212,0.2642623055034047,0.268191027752993
