design,outcome,factor,replications,B_total_U,B_factor_U,q_proportion,rho_proportion,tau_proportion,in_sample_B_total,in_sample_B_factor
CS-15,mean_total_shift,seeding_regime,30,0.0002084105827184052,4.8492126946333277e-05,0.014428592077730971,0.01655110392790569,0.06201153614181602,0.00020848158271968468,4.850872410916597e-05
CS-30,mean_total_shift,topology,30,0.00038072146233215096,2.9864440056691625e-07,8.886016150306948e-05,0.24818308257973187,0.11328178451127305,0.00038079075183747806,3.168387177373773e-07
CS-30,mean_total_shift,message_condition,30,0.00038072146233215096,0.00016021774630094895,0.047671996477865006,0.37352619624484024,0.11328178451127305,0.00038079075183747806,0.000160236457790361
CS-30,mean_total_shift,inoculation,30,0.00038072146233215096,2.3147057631186056e-07,6.887292296535719e-05,0.2701561833972697,0.11328178451127305,0.00038079075183747806,2.474415131111428e-07
CS-30,mean_total_shift,seeding_regime,30,0.00038072146233215096,0.00021997360105432333,0.06545205494893964,0.07508035142436806,0.11328178451127305,0.00038079075183747806,0.00021999001381626864
CS-45,mean_total_shift,topology,30,0.0006926847206098617,3.521637716743568e-07,0.00010478458516921578,0.29265939780264877,0.2061049061266732,0.0006927542035396113,3.70474704395059e-07
CS-45,mean_total_shift,message_condition,30,0.0006926847206098617,0.0001640589409500528,0.04881492491126657,0.3824814266075288,0.2061049061266732,0.0006927542035396113,0.00016407809668607084
CS-45,mean_total_shift,inoculation,30,0.0006926847206098617,2.65556340337229e-07,7.901497314443324e-05,0.3099386908070534,0.2061049061266732,0.0006927542035396113,2.818583575550433e-07
CS-45,mean_total_shift,seeding_regime,30,0.0006926847206098617,0.0005280080595477974,0.15710618165709306,0.18021721913784233,0.2061049061266732,0.0006927542035396113,0.0005280237737915906
CS-45-R,mean_total_shift,topology,30,0.000817777772479532,2.390009102149374e-07,7.111353650282586e-05,0.19861742769630183,0.24332572383144072,0.0008178453234140094,2.5687475770292447e-07
CS-45-R,mean_total_shift,message_condition,30,0.000817777772479532,0.0001889253146082653,0.056213791171842345,0.44045404313346725,0.24332572383144072,0.0008178453234140094,0.00018894338204683483
CS-45-R,mean_total_shift,inoculation,30,0.000817777772479532,3.0699801683245555e-07,9.134573862784187e-05,0.35830650210264864,0.24332572383144072,0.0008178453234140094,3.2275015994369396e-07
CS-45-R,mean_total_shift,seeding_regime,30,0.000817777772479532,0.0006283064589442195,0.18694947338446774,0.21445059549705972,0.24332572383144072,0.0008178453234140094,0.0006283223164495282
D-A95,mean_total_shift,topology,30,0.0004680432328858112,7.81120210083384e-07,0.00023241844779128379,0.6491359665067092,0.13926394463013855,0.00046817267647573225,8.157826966994804e-07
D-A95,mean_total_shift,message_condition,30,0.0004680432328858112,0.00046119463721719785,0.1372261789260873,1.0752134675810168,0.13926394463013855,0.00046817267647573225,0.0004612297503816373
D-A95,mean_total_shift,inoculation,30,0.0004680432328858112,7.646709544879265e-07,0.00022752405330056868,0.89247017876207,0.13926394463013855,0.00046817267647573225,7.945612235123089e-07
