design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,seeding_regime,main,0.16971198358027145,0.0028610022334624296,0.003466181760134664,0.04154008351369789
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,seeding_regime,shapley,0.1722946670419588,0.002904541074953367,0.0033319148339206505,0.042172242094516046
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,topology,main,0.00018737682723017602,0.00018737682723017602,1.0,0.0027206022283503633
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,topology,shapley,0.00036910234740489847,0.00036910234740489847,1.0,0.0053591507748477814
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,message_condition,main,0.08149845989093638,0.08149845989093638,1.0,1.1833100968991999
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,message_condition,shapley,0.12763325516257784,0.12763325516257784,1.0,1.853160412308437
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,inoculation,main,0.0001364590941447457,0.0001364590941447457,1.0,0.0019813064459289725
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,inoculation,shapley,0.00026435405670961846,0.00026435405670961846,1.0,0.0038382666970562442
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,seeding_regime,main,0.8254045608246687,0.8254045608246687,1.0,11.98439273769764
NC-NoOp,mean_total_shift,1.0,1.0,14.519416667293346,0.017710221023288522,seeding_regime,shapley,0.8717332884333078,0.8717332884333078,1.0,12.657058837513006
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,topology,main,0.0014938818291411022,3.5750934605191654e-05,0.19079698986083676,0.0005190827157779341
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,topology,shapley,0.0019414583273356018,4.646214201506561e-05,0.1258787497336003,0.0006746031991716941
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,message_condition,main,0.9048314166574065,0.021654034592709696,0.2656986969040612,0.3144039507795358
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,message_condition,shapley,0.910128056076566,0.021780791479237005,0.1706513827567343,0.3162443868304747
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,inoculation,main,0.00102788375717308,2.4598870049554985e-05,0.18026552355288483,0.00035716124379409173
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,inoculation,shapley,0.0013949467129947717,3.338326214375065e-05,0.12628239021283766,0.0004847054927785962
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,seeding_regime,main,0.08143085131372996,0.0019487679569916432,0.002360985205902682,0.028294973955431665
PC-M01,mean_total_shift,0.023931568018165417,0.2249621314678196,0.3474724075574153,0.003984129070165175,seeding_regime,shapley,0.08653553888310377,0.002070931134769596,0.002375647646187178,0.03006871203499039
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,topology,main,0.00031640516007987515,2.78931322148343e-06,0.014886116190114602,4.049920087830821e-05
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,topology,shapley,0.0005685175326680559,5.011844529070968e-06,0.013578468314570396,7.276905898927598e-05
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,message_condition,main,0.16869534722555862,0.0014871570435204086,0.018247670514394573,0.021592652764572916
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,message_condition,shapley,0.2162684553895602,0.0019065443239156218,0.014937676873375097,0.027681911433594
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,inoculation,main,0.00016831825867724275,1.4838327675407692e-06,0.010873828357433103,2.1544386216507457e-05
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,inoculation,shapley,0.0003245603255388403,2.8612062046204117e-06,0.010823386787528378,4.154304505592874e-05
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,seeding_regime,main,0.7351444378497638,0.006480766937165935,0.007851624821034362,0.09409695548433072
PC-M05,mean_total_shift,0.008815637585617377,0.03310338175518696,0.1279979152934306,0.0005862682075026579,seeding_regime,shapley,0.782838466752233,0.006901220210968065,0.007916664767237513,0.10020169175579141
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,topology,main,0.00046944200269167645,1.6084877589645117e-07,0.0006364808845277127,1.5680502296150298e-06
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,topology,shapley,0.004730147130532699,1.6207292304348927e-06,0.0029712575802743582,1.579983949373217e-05
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,message_condition,main,0.978493740535171,0.000335269361252264,0.004442999284542364,0.0032684065885147714
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,message_condition,shapley,0.9826071537608554,0.0003366787738704659,0.0026952449445626432,0.0032821463870757283
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,inoculation,main,0.005041918185072172,1.7275539120677303e-06,0.004355775923029662,1.6841230487411587e-05
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,inoculation,shapley,0.009297766548812652,3.185770253561513e-06,0.004289943116428283,3.1056796980623324e-05
C-D1,mean_signed_shift,0.00034263822788370006,0.048641363357079435,0.0033402427150194852,0.0011216490230709923,seeding_regime,main,8.583545870053354e-05,2.9410509458735336e-08,3.5695322326307214e-08,2.8671126561481303e-07
